Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Khumba,2013,Adventure|Animation|Family,English,South Africa,Not Rated,85,,20000000,,Anthony Silverston,Liam Neeson,Steve Buscemi,Loretta Devine,4006,12,39,5.8
Kick-Ass 2,2013,Action|Comedy|Crime,English,USA,R,103,2.35,28000000,28751715,Jeff Wadlow,Chloë Grace Moretz,Donald Faison,Augustus Prew,202967,378,350,6.6
Labor Day,2013,Drama,English,USA,PG-13,111,2.35,18000000,13362308,Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,31898,111,217,6.9
Last Vegas,2013,Comedy|Romance,English,USA,PG-13,105,2.35,28000000,63910583,Jon Turteltaub,Robert De Niro,Morgan Freeman,Romany Malco,106755,173,222,6.6
Lee Daniels' The Butler,2013,Biography|Drama,English,USA,PG-13,132,1.85,30000000,116631310,Lee Daniels,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,87665,323,304,7.2
Legends of Oz: Dorothy's Return,2013,Adventure|Animation|Family|Fantasy|Musical,English,USA,PG,88,,70000000,8460990,Will Finn,Lea Michele,Oliver Platt,Jim Belushi,5116,54,51,5.6
Living Dark: The Story of Ted the Caver,2013,Horror,English,USA,PG-13,112,1.85,1750000,,David Hunt,Matthew Alan,Chris Cleveland,Circus-Szalewski,28,1,1,6.3
Lone Survivor,2013,Action|Biography|Drama|Thriller|War,English,USA,R,121,2.35,40000000,125069696,Peter Berg,Jerry Ferrara,Scott Elrod,Dan Bilzerian,203963,420,319,7.6
Machete Kills,2013,Action|Comedy|Crime|Thriller,English,Russia,R,107,1.85,20000000,7268659,Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,59248,164,260,5.6
Mama,2013,Fantasy|Horror,English,Canada,PG-13,100,1.85,20000000,71588220,Andrés Muschietti,Javier Botet,Megan Charpentier,Isabelle Nélisse,134869,304,393,6.2
Man of Steel,2013,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG-13,143,2.35,225000000,291021565,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,548573,2536,733,7.2
Mandela: Long Walk to Freedom,2013,Biography|Drama|History,English,UK,PG-13,141,2.35,35000000,8324748,Justin Chadwick,Terry Pheto,Fana Mokoena,Tony Kgoroge,21223,108,211,7.1
Metallica Through the Never,2013,Music,English,USA,R,93,2.35,,3419967,Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,13359,56,103,7.2
Monsters University,2013,Adventure|Animation|Comedy|Family|Fantasy,English,USA,G,104,1.85,200000000,268488329,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,235025,265,376,7.3
Movie 43,2013,Comedy,English,USA,R,94,1.85,6000000,8828771,Elizabeth Banks,Hugh Jackman,Kate Winslet,Seth MacFarlane,79146,352,180,4.3
Mutual Friends,2013,Comedy|Romance,English,USA,,86,,450000,,Matthew Watts,Jennifer Lafleur,Cheyenne Jackson,Michael Stahl-David,64,3,3,6.8
My Lucky Star,2013,Action|Adventure|Comedy|Romance,Chinese,China,,114,2.35,,50000,Dennie Gordon,Leehom Wang,Ruby Lin,Jack Kao,322,2,11,5.1
Nebraska,2013,Adventure|Comedy|Drama,English,USA,R,115,2.35,12000000,17613460,Alexander Payne,Devin Ratray,Bruce Dern,Will Forte,91082,274,433,7.8
Now You See Me,2013,Crime|Mystery|Thriller,English,USA,PG-13,125,2.35,75000000,117698894,Louis Leterrier,Morgan Freeman,Common,Michael Kelly,447979,629,384,7.3
Nurse 3D,2013,Horror|Thriller,English,USA,R,84,2.35,10000000,,Douglas Aarniokoski,Boris Kodjoe,Katrina Bowden,Kathleen Turner,7286,75,129,4.6
Oblivion,2013,Action|Adventure|Mystery|Sci-Fi,English,USA,PG-13,124,2.35,120000000,89021735,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,387436,892,539,7
Oculus,2013,Horror|Mystery,English,USA,R,104,2.35,5000000,27689474,Mike Flanagan,James Lafferty,Rory Cochrane,Garrett Ryan,85688,339,336,6.5
Of Horses and Men,2013,Comedy|Drama|Romance,Icelandic,Iceland,,81,2.35,10000000,11835,Benedikt Erlingsson,Ingvar Eggert Sigurðsson,Charlotte Bøving,Sigríður María Egilsdóttir,1920,7,66,6.9
Olympus Has Fallen,2013,Action|Thriller,English,USA,R,119,2.35,70000000,98895417,Antoine Fuqua,Gerard Butler,Morgan Freeman,Radha Mitchell,203154,698,358,6.5
Once Upon a Time in Queens,2013,Comedy|Drama,English,USA,R,98,1.89,1500000,,Dave Rodriguez,Chazz Palminteri,Michael Rapaport,Paul Sorvino,291,7,9,6.3
One Direction: This Is Us,2013,Documentary|Music,English,USA,PG,106,1.85,10000000,28873374,Morgan Spurlock,Harry Styles,Zayn Malik,Niall Horan,22161,68,83,4.1
Only God Forgives,2013,Crime|Drama,English,Denmark,R,90,1.85,4800000,778565,Nicolas Winding Refn,Ryan Gosling,Kristin Scott Thomas,Yayaying Rhatha Phongam,83234,475,440,5.7
Open Road,2013,Action|Drama|Thriller,English,Brazil,,85,2.35,3000000,,Marcio Garcia,John Savage,Kristi Clainos,Emily Nelson,1370,9,9,5.5
Out of Inferno,2013,Action,Chinese,China,PG-13,107,1.85,,,Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,625,4,23,5.7
Out of the Furnace,2013,Crime|Drama|Thriller,English,USA,R,116,2.35,22000000,11326836,Scott Cooper,Christian Bale,Sam Shepard,Dendrie Taylor,83171,231,288,6.8
Oz the Great and Powerful,2013,Adventure|Family|Fantasy,English,USA,PG,130,2.35,215000000,234903076,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,175409,511,525,6.4
Oz the Great and Powerful,2013,Adventure|Family|Fantasy,English,USA,PG,130,2.35,215000000,234903076,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,175413,511,525,6.4
Pacific Rim,2013,Action|Adventure|Sci-Fi,English,USA,PG-13,131,1.85,190000000,101785482,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,381148,1106,575,7
Pain & Gain,2013,Comedy|Crime|Drama,English,USA,R,129,2.35,26000000,49874933,Michael Bay,Dwayne Johnson,Larry Hankin,Michael Rispoli,161168,287,335,6.5
Palo Alto,2013,Drama,English,USA,R,100,1.85,,750100,Gia Coppola,James Franco,Nat Wolff,Olivia Crocicchia,19752,61,117,6.3
Parker,2013,Action|Crime|Romance|Thriller,English,USA,R,118,2.35,35000000,17609982,Taylor Hackford,Jason Statham,Clifton Collins Jr.,Wendell Pierce,90046,141,224,6.2
Peeples,2013,Comedy|Romance,English,USA,PG-13,95,2.35,15000000,9123834,Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,4065,33,43,5.3
Percy Jackson: Sea of Monsters,2013,Adventure|Family|Fantasy,English,USA,PG,106,2.35,90000000,68558662,Thor Freudenthal,Logan Lerman,Leven Rambin,Brandon T. Jackson,86627,204,183,5.9
Philomena,2013,Biography|Drama,English,UK,PG-13,98,1.85,12000000,37707719,Stephen Frears,Steve Coogan,Mare Winningham,Peter Hermann,76094,233,354,7.6
Plush,2013,Thriller,English,USA,R,99,1.78,,2843,Catherine Hardwicke,Frances Fisher,James Kyson,Marlene Forte,2895,24,18,5.4
Prisoners,2013,Crime|Drama|Mystery|Thriller,English,USA,R,153,1.85,46000000,60962878,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,383591,620,454,8.1
R.I.P.D.,2013,Action|Comedy|Fantasy,English,USA,PG-13,96,2.35,130000000,33592415,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,91640,210,208,5.6
R100,2013,Comedy|Drama,Japanese,Japan,Unrated,99,1.85,5500000,22770,Hitoshi Matsumoto,Lindsay Kay Hayward,Hitoshi Matsumoto,Shinobu Terajima,1658,12,72,6.1
RED 2,2013,Action|Comedy|Crime|Thriller,English,USA,PG-13,116,2.35,84000000,53215979,Dean Parisot,Bruce Willis,Anthony Hopkins,Garrick Hagon,125036,205,234,6.7
Riddick,2013,Action|Sci-Fi|Thriller,English,USA,R,127,2.35,38000000,41997790,David Twohy,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine,125305,343,302,6.4
Roadside,2013,Drama|Horror|Mystery|Thriller,English,USA,,81,16,,,Eric England,Jack E. Curenton,Ace Marrero,Alan Pietruszewski,268,6,15,4.1
Runner Runner,2013,Crime|Thriller,English,USA,R,88,2.35,30000000,19316646,Brad Furman,Justin Timberlake,John Heard,David Costabile,52069,95,184,5.6
Rush,2013,Action|Biography|Drama|Sport,English,UK,R,123,2.35,38000000,26903709,Ron Howard,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,312629,475,393,8.1
Safe Haven,2013,Drama|Romance|Thriller,English,USA,PG-13,115,2.35,28000000,71346930,Lasse Hallström,David Lyons,Noah Lomax,Mimi Kirkland,78008,160,184,6.7
Saving Mr. Banks,2013,Biography|Comedy|Drama|History|Music,English,USA,PG-13,125,2.35,35000000,83299761,John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak,117719,306,405,7.5
Scary Movie 5,2013,Comedy,English,USA,PG-13,88,1.85,20000000,32014289,Malcolm D. Lee,Marisa Saks,Snoop Dogg,Molly Shannon,50337,177,153,3.5
Sharknado,2013,Horror,English,USA,TV-14,97,1.78,1000000,,Anthony C. Ferrante,Ian Ziering,John Heard,Cassandra Scerbo,34532,236,139,3.3
Side Effects,2013,Crime|Drama|Thriller,English,USA,R,106,1.85,30000000,32154410,Steven Soderbergh,Channing Tatum,David Costabile,Katie Lowes,148327,274,450,7.1
Side Effects,2013,Crime|Drama|Thriller,English,USA,R,106,1.85,30000000,32154410,Steven Soderbergh,Channing Tatum,David Costabile,Katie Lowes,148334,274,450,7.1
Signed Sealed Delivered,2013,Comedy|Drama,English,Canada,,87,,,,Scott Smith,Eric Mabius,Daphne Zuniga,Crystal Lowe,629,6,1,7.7
Snitch,2013,Action|Drama|Thriller,English,USA,PG-13,112,2.35,15000000,42919096,Ric Roman Waugh,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,64747,122,238,6.5
Snitch,2013,Action|Drama|Thriller,English,USA,PG-13,112,2.35,15000000,42919096,Ric Roman Waugh,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,64748,122,238,6.5
Snowpiercer,2013,Action|Drama|Sci-Fi|Thriller,English,South Korea,R,126,1.85,39200000,4563029,Joon-ho Bong,Chris Evans,Ewen Bremner,Kang-ho Song,181472,514,488,7
Star Trek Into Darkness,2013,Action|Adventure|Sci-Fi,English,USA,PG-13,132,2.35,190000000,228756232,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,395573,1171,590,7.8
Stoker,2013,Drama|Thriller,English,UK,R,99,2.35,12000000,1702277,Chan-wook Park,Mia Wasikowska,Alden Ehrenreich,Harmony Korine,84620,235,469,6.8
Straight A's,2013,Comedy|Drama,English,USA,R,91,,2000000,,James Cox,Jon Mack,Powers Boothe,Josh Meyers,3605,20,12,5.7
Texas Chainsaw 3D,2013,Horror|Thriller,English,USA,R,92,2.35,11000000,34334256,John Luessenhop,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos,35131,255,282,4.8
The Adventurer: The Curse of the Midas Box,2013,Adventure|Family|Fantasy,English,UK,PG,100,2.35,25000000,4756,Jonathan Newman,Ioan Gruffudd,Keeley Hawes,Oliver Stark,4191,32,28,5.4
The Amazing Catfish,2013,Comedy|Drama,Spanish,Mexico,,89,,1300000,11278,Claudia Sainte-Luce,Ximena Ayala,Vera Wilson,José Manuel Orozco Angulo,1229,2,50,7
The Best Man Holiday,2013,Comedy|Drama,English,USA,R,123,2.35,17000000,70492685,Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,11600,64,56,6.7
The Best Offer,2013,Crime|Drama|Mystery|Romance,English,Italy,R,131,2.35,13500000,85433,Giuseppe Tornatore,Jim Sturgess,Sean Buchanan,Liya Kebede,69676,131,124,7.8
The Big Wedding,2013,Comedy,English,USA,R,89,2.35,35000000,21784432,Justin Zackham,Robin Williams,Robert De Niro,Topher Grace,37493,108,133,5.6
The Book Thief,2013,Drama|War,English,USA,PG-13,131,2.35,19000000,21483154,Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,98741,236,252,7.6
The Brain That Sings,2013,Documentary|Family,Arabic,United Arab Emirates,,62,,125000,,Amal Al-Agroobi,,,,18,,,8.2
The Call,2013,Crime|Thriller,English,USA,R,94,1.85,13000000,51872378,Brad Anderson,Michael Imperioli,Tara Platt,Roma Maffia,88241,266,285,6.7
The Canyons,2013,Drama|Thriller,English,USA,R,99,2.35,250000,49494,Paul Schrader,Nolan Gerard Funk,Gus Van Sant,James Deen,8511,87,162,3.9
The Christmas Candle,2013,Drama|Family,English,UK,PG,100,,,2209479,John Stephenson,Samantha Barks,Hans Matheson,Lesley Manville,844,34,9,5.8
The Conjuring,2013,Horror|Mystery|Thriller,English,USA,R,112,2.35,20000000,137387272,James Wan,Mackenzie Foy,Lili Taylor,Hayley McFarland,300110,807,511,7.5
The Counselor,2013,Crime|Drama|Thriller,English,USA,R,138,2.35,25000000,16969390,Ridley Scott,Michael Fassbender,Brad Pitt,Goran Visnjic,80861,431,336,5.3
The Croods,2013,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,98,2.35,135000000,187165546,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,150618,195,257,7.3
The Dirties,2013,Crime|Drama|Thriller,English,Canada,Not Rated,83,,,,Matt Johnson,Paul Daniel Ayotte,Shailene Garnett,Matt Johnson,3885,40,73,6.7
The East,2013,Drama|Thriller,English,UK,PG-13,116,2.35,6500000,2268296,Zal Batmanglij,Alexander Skarsgård,Julia Ormond,Jason Ritter,41856,119,200,6.9
The Fifth Estate,2013,Biography|Drama|Thriller,English,USA,R,128,2.35,28000000,3254172,Bill Condon,Benedict Cumberbatch,Peter Capaldi,Jamie Blackley,29282,105,224,6.2
The Frozen Ground,2013,Crime|Drama|Mystery|Thriller,English,USA,R,105,2.35,27220000,,Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,43879,133,120,6.4
The Geographer Drank His Globe Away,2013,Adventure|Drama,Russian,Russia,,120,,4000000,,Aleksandr Veledinskiy,Konstantin Khabenskiy,Elena Lyadova,Eugenia Khirivskaya,2488,3,8,7.5
The Grandmaster,2013,Action|Biography|Drama,Mandarin,Hong Kong,PG-13,122,2.35,38600000,6594136,Kar-Wai Wong,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui,24557,111,273,6.5
The Great Beauty,2013,Drama,Italian,Italy,Not Rated,172,2.35,9200000,2835886,Paolo Sorrentino,Toni Servillo,Sabrina Ferilli,Serena Grandi,55516,124,280,7.7
The Great Gatsby,2013,Drama|Romance,English,Australia,PG-13,143,2.35,105000000,144812796,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,362912,753,490,7.3
The Great Gatsby,2013,Drama|Romance,English,Australia,PG-13,143,2.35,105000000,144812796,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,362933,753,490,7.3
The Green Inferno,2013,Adventure|Horror,English,USA,R,100,2.35,6000000,7186670,Eli Roth,Daryl Sabara,Richard Burgi,Magda Apanowicz,21468,164,285,5.4
The Haunting in Connecticut 2: Ghosts of Georgia,2013,Drama|Horror|Mystery|Thriller,English,USA,R,101,2.35,9000000,,Tom Elkins,Abigail Spencer,Cicely Tyson,Brad James,13167,57,79,5.3
The Heat,2013,Action|Comedy|Crime,English,USA,R,123,2.35,43000000,159578352,Paul Feig,Michael Rapaport,William Xifaras,Demián Bichir,133177,380,270,6.6
The Hobbit: The Desolation of Smaug,2013,Adventure|Fantasy,English,USA,PG-13,186,2.35,225000000,258355354,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,483540,951,509,7.9
The Host,2013,Action|Adventure|Romance|Sci-Fi|Thriller,English,USA,PG-13,125,2.35,40000000,26616999,Andrew Niccol,J.D. Evermore,Chandler Canterbury,Rachel Roberts,92461,347,298,5.9
The Hunger Games: Catching Fire,2013,Adventure|Sci-Fi|Thriller,English,USA,PG-13,146,2.35,130000000,424645577,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,498397,706,502,7.6
The Immigrant,2013,Drama|Romance,English,USA,R,120,2.35,16000000,1984743,James Gray,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,20616,70,230,6.6
The Incredible Burt Wonderstone,2013,Comedy,English,USA,PG-13,100,2.35,30000000,22525921,Don Scardino,Steve Buscemi,Olivia Wilde,Steve Carell,60596,158,260,5.9
The Internship,2013,Comedy,English,USA,PG-13,125,2.35,58000000,44665963,Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,159931,281,246,6.3
The Knife of Don Juan,2013,Comedy|Drama,Spanish,USA,,110,,1200000,3830,Tom Sanchez,Nataniel Sánchez,Antonio Arrué,Juan Carlos Montoya,27,1,1,7.2
The Last Days on Mars,2013,Horror|Sci-Fi|Thriller,English,UK,R,98,2.35,7000000,23838,Ruairi Robinson,Romola Garai,Olivia Williams,Tom Cullen,28570,160,120,5.5
The Last Exorcism Part II,2013,Drama|Horror|Thriller,English,France,PG-13,93,2.35,5000000,15152879,Ed Gass-Donnelly,Muse Watson,Spencer Treat Clark,Ashley Bell,13506,68,161,4
The Last Stand,2013,Action|Crime|Thriller,English,USA,R,107,2.35,45000000,12026670,Jee-woon Kim,Zach Gilford,James Burnett,Christiana Leucas,114241,258,376,6.4
The Lone Ranger,2013,Action|Adventure|Western,English,USA,PG-13,150,2.35,215000000,89289910,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,181792,711,450,6.5
The Lost Medallion: The Adventures of Billy Stone,2013,Adventure|Family|Fantasy,English,Thailand,PG,97,2.35,,549632,Bill Muir,Alex Kendrick,Jansen Panettiere,Tiya Sircar,1278,16,10,4.8
The Lunchbox,2013,Drama|Romance,Hindi,India,PG,104,2.35,1000000,4231500,Ritesh Batra,Nawazuddin Siddiqui,Nimrat Kaur,Lillete Dubey,30479,162,195,7.8
The Maid's Room,2013,Thriller,English,USA,,98,,600000,,Michael Walker,Paula Garcés,Annabella Sciorra,John Brodsky,719,9,8,4.5
The Mortal Instruments: City of Bones,2013,Fantasy|Horror|Mystery|Romance,English,USA,PG-13,130,2.35,60000000,31165421,Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,107028,457,212,6
The Purge,2013,Horror|Sci-Fi|Thriller,English,USA,R,85,2.35,3000000,64423650,James DeMonaco,Rhys Wakefield,Adelaide Kane,Chris Mulkey,139329,578,361,5.7
The Railway Man,2013,Biography|Drama|Romance|War,English,Australia,R,116,2.35,18000000,4435083,Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,27882,119,186,7.1
The Secret Life of Walter Mitty,2013,Adventure|Comedy|Drama|Fantasy|Romance,English,USA,PG,114,2.35,90000000,58229120,Ben Stiller,Adam Scott,Adrian Martinez,Joey Slotnick,236421,515,362,7.3
The Smurfs 2,2013,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,105,1.85,105000000,71017784,Raja Gosnell,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,27257,59,125,5.4
The Spectacular Now,2013,Comedy|Drama|Romance,English,USA,R,95,2.35,2500000,6851969,James Ponsoldt,Shailene Woodley,Jennifer Jason Leigh,Dayo Okeniyi,105591,178,220,7.1
The Square,2013,Documentary|Drama|History|News,Arabic,Egypt,Not Rated,108,1.85,1500000,,Jehane Noujaim,Khalid Abdalla,Ahmed Hassan,Aida Elkashef,6678,42,68,8.1
The To Do List,2013,Comedy|Romance,English,USA,R,104,1.78,1500000,3447339,Maggie Carey,Donald Glover,Alia Shawkat,Scott Porter,29517,79,97,5.8
The Vatican Exorcisms,2013,Horror,English,Italy,R,76,2.35,1100000,,Joe Marino,Piero Maggiò,Anella Vastola,Joe Marino,332,10,9,2.6
The Way Way Back,2013,Comedy|Drama,English,USA,PG-13,103,1.85,5000000,21501098,Nat Faxon,Steve Carell,Liam James,Jim Rash,115813,216,276,7.4
The Wolf of Wall Street,2013,Biography|Comedy|Crime|Drama,English,USA,R,240,2.35,100000000,116866727,Martin Scorsese,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,780588,1138,606,8.2
The Wolverine,2013,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,138,2.35,120000000,132550960,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,328067,533,440,6.7
The World's End,2013,Action|Comedy|Sci-Fi,English,UK,R,109,2.35,20000000,26003149,Edgar Wright,Michael Smiley,Thomas Law,Jasper Levine,185587,401,427,7
The Young and Prodigious T.S. Spivet,2013,Action|Adventure|Drama|Family,English,France,PG,105,2.35,33000000,99462,Jean-Pierre Jeunet,Callum Rennie,Julian Richings,Judy Davis,11347,28,122,7.1
This Is Martin Bonner,2013,Drama,English,USA,R,83,16,42000,,Chad Hartigan,Jan Haley,Paul Eenhoorn,Demetrius Grosse,733,7,34,6.6
This Is the End,2013,Comedy|Fantasy,English,USA,R,107,2.35,32000000,101470202,Evan Goldberg,Channing Tatum,James Franco,Emma Watson,310540,669,418,6.7
Thor: The Dark World,2013,Action|Adventure|Fantasy,English,USA,PG-13,112,2.35,170000000,206360018,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,414070,532,486,7.1
Thunder and the House of Magic,2013,Adventure|Animation|Comedy|Family|Fantasy,English,Belgium,,85,2.35,34000000,4091,Jeremy Degruson,Kyle Hebert,Brianne Brozey,Joe Ochman,4265,16,60,6.3
Trance,2013,Crime|Drama|Mystery|Thriller,English,UK,R,101,2.35,20000000,2319187,Danny Boyle,Rosario Dawson,Spencer Wilding,Tuppence Middleton,92640,212,393,7
Trance,2013,Crime|Drama|Mystery|Thriller,English,UK,R,101,2.35,20000000,2319187,Danny Boyle,Rosario Dawson,Spencer Wilding,Tuppence Middleton,92640,212,393,7
Treachery,2013,Drama|Thriller,English,USA,,67,,625000,,Travis Romero,Matthew Ziff,Lorraine Ziff,Michael Biehn,344,5,5,3.9
Treading Water,2013,Comedy|Drama,English,Mexico,,92,,4700000,,Analeine Cal y Mayor,Zoë Kravitz,Douglas Smith,Kim Ly,421,3,10,6.2
Turbo,2013,Adventure|Animation|Comedy|Family|Sport,English,USA,PG,96,2.35,135000000,83024900,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,62424,90,166,6.5
Under the Skin,2013,Drama|Horror|Sci-Fi|Thriller,English,UK,R,108,1.85,,2605039,Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,85022,616,454,6.3
Underdogs,2013,Adventure|Animation|Family|Sport,Spanish,Spain,PG,106,2.35,22000000,,Juan José Campanella,Pablo Rago,Diego Ramos,Gabriel Almirón,6920,22,82,6.7
UnDivided,2013,Documentary,English,USA,PG,66,,250000,,Sam Martin,Sam Adams,Steve Duin,Jeff Jacob,6,1,1,7.8
Walking with Dinosaurs 3D,2013,Adventure|Animation|Family,English,USA,PG,87,2.35,80000000,36073232,Barry Cook,Charlie Rowe,Tiya Sircar,Madison Rothschild,8913,66,113,5.2
Warm Bodies,2013,Comedy|Horror|Romance,English,USA,PG-13,98,2.35,35000000,66359959,Jonathan Levine,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,184641,326,452,6.9
Water & Power,2013,Crime|Drama,English,USA,Not Rated,88,,,79043,Richard Montoya,Nicholas Gonzalez,Angela Nordeng,Exie Booker,85,,,6.3
We're the Millers,2013,Comedy|Crime,English,USA,R,118,2.35,37000000,150368971,Rawson Marshall Thurber,Laura-Leigh,Molly C. Quinn,Thomas Lennon,316671,301,289,7
White House Down,2013,Action|Drama|Thriller,English,USA,PG-13,131,2.35,150000000,73103784,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,164238,434,339,6.4
World War Z,2013,Action|Adventure|Horror|Sci-Fi|Thriller,English,USA,PG-13,123,2.35,190000000,202351611,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,465019,995,654,7
Yeh Jawaani Hai Deewani,2013,Comedy|Drama|Musical|Romance,Hindi,India,Not Rated,160,,,3827466,Ayan Mukerji,Ranbir Kapoor,Madhuri Dixit,Aditya Roy Kapoor,25122,102,25,6.9
Zombie Hunter,2013,Action|Comedy|Horror,English,USA,Not Rated,93,2.35,1000000,,K. King,Jason K. Wixom,Shona Kay,Jarrod Phillips,2057,30,150,3.5
Zulu,2013,Crime|Drama|Thriller,English,France,R,110,2.35,16000000,,Jérôme Salle,Orlando Bloom,Tanya van Graan,Conrad Kemp,12817,43,69,6.7
22 Jump Street,2014,Action|Comedy|Crime,English,USA,R,112,2.35,50000000,191616238,Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,258186,322,330,7.1
3 Days to Kill,2014,Action|Drama|Thriller,English,USA,PG-13,123,2.35,28000000,30688364,McG,Connie Nielsen,Richard Sammel,Tómas Lemarquis,69355,211,211,6.2
300: Rise of an Empire,2014,Action|Drama|Fantasy|War,English,USA,R,102,2.35,110000000,106369117,Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,225273,523,366,6.2
8 Days,2014,Drama|Thriller,English,USA,PG-13,90,,2500000,,Jaco Booyens,Nicole Smolen,Sebastian Aguilar,Ivette Alvarez,44,3,,6.9
A Fine Step,2014,Drama,,USA,PG,111,,1000000,,Jonathan Meyers,Justin Baldoni,Luke Perry,Leonor Varela,207,1,1,5.3
A Haunted House 2,2014,Comedy|Fantasy,English,USA,R,86,1.85,4000000,17314483,Michael Tiddes,Ashley Rickards,Essence Atkins,Gabriel Iglesias,14621,48,69,4.7
A Lego Brickumentary,2014,Documentary,English,Denmark,G,93,,1000000,100240,Kief Davidson,G.W. Krauss,Brian Whitaker,Jason Bateman,1220,11,43,6.8
A Million Ways to Die in the West,2014,Comedy|Western,English,USA,R,136,2.35,40000000,42615685,Seth MacFarlane,Liam Neeson,Charlize Theron,Seth MacFarlane,136093,416,303,6.1
A Most Violent Year,2014,Action|Crime|Drama|Thriller,English,USA,R,125,2.35,20000000,5749134,J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,45799,180,350,7
A Most Wanted Man,2014,Crime|Drama|Thriller,English,UK,R,122,2.35,15000000,17237244,Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,57210,158,291,6.8
A Walk Among the Tombstones,2014,Crime|Drama|Mystery|Thriller,English,USA,R,114,2.35,28000000,25977365,Scott Frank,Liam Neeson,Boyd Holbrook,David Harbour,87950,207,253,6.5
About Last Night,2014,Comedy|Romance,English,USA,R,100,2.35,12500000,48637684,Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,16979,42,90,6.1
Addicted,2014,Drama|Thriller,Spanish,USA,R,106,1.85,5000000,17382982,Bille Woodruff,Boris Kodjoe,Cameron Mills,Sharon Leal,5975,33,9,5.2
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Comedy|Family,English,USA,PG,81,2.39,28000000,66950483,Miguel Arteta,Bella Thorne,Steve Carell,Jennifer Garner,29738,85,119,6.2
Aloft,2014,Drama,English,Spain,R,97,2.35,8000000,52961,Claudia Llosa,Ian Tracey,Zen McGrath,William Shimell,2103,11,56,5.3
Alpha and Omega 4: The Legend of the Saw Toothed Cave,2014,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,,USA,,45,,7000000,,Richard Rich,Debi Derryberry,Kate Higgins,Cindy Robinson,192,6,2,6
